	number	user_login	created_at	closed_at	merged_at	title
159	313	droot	2018-02-22 03:59:28	2018-02-23 19:19:45	2018-02-23 19:19:45	added configmap resource implementation
160	312	seans3	2018-02-21 23:05:09	2018-02-21 23:08:40	2018-02-21 23:08:40	First pass at Application abstraction with unimplemented methods
161	311	Liujingfang1	2018-02-21 22:49:38	2018-02-21 22:52:40	2018-02-21 22:52:40	Use ManifestLoader to read and write the kubemanifest file
162	310	mengqiy	2018-02-21 22:38:26	2018-02-22 16:34:40	2018-02-22 16:34:40	update yaml import pkg
163	309	droot	2018-02-21 19:40:22	2018-02-21 19:41:40	2018-02-21 19:41:40	removed '-u' option from install command
164	308	Liujingfang1	2018-02-21 18:49:45	2018-02-21 19:36:40	2018-02-21 19:36:40	Move ManifestLoader under tree package
165	307	mengqiy	2018-02-21 02:09:26	2018-02-21 02:28:14	2018-02-21 02:28:14	initial implementation for file loader
166	303	Liujingfang1	2018-02-20 18:46:11	2018-02-20 23:33:17	2018-02-20 23:33:17	Create different internal error types
167	301	l-korbes	2018-02-16 23:58:54	2018-03-06 17:09:53	2018-03-06 17:09:53	Resource Library
168	299	mengqiy	2018-02-16 18:38:38	2018-02-16 19:42:39	2018-02-16 19:42:39	better integration test
169	297	droot	2018-02-15 23:53:00	2018-02-17 00:15:38	2018-02-17 00:15:38	kinflate: improved README and added getting-started
170	296	droot	2018-02-15 23:20:05	2018-02-16 17:33:41	2018-02-16 17:33:41	kinflate: removed non-existing resources from manifest file
171	294	seans3	2018-02-15 21:04:16	2018-02-15 21:43:39	2018-02-15 21:43:39	New structure: ManifestError
172	292	mengqiy	2018-02-15 00:18:19	2018-02-21 19:20:40	2018-02-21 19:20:40	add kinflate diff command
173	289	seans3	2018-02-14 22:55:39	2018-02-14 23:09:51	2018-02-14 23:09:51	Checkpoint toward better kinflate error messages.
174	285	apelisse	2018-02-14 17:40:43	2018-02-17 00:08:40	2018-02-17 00:08:40	kinflate: Generate secrets with commands
175	284	monopole	2018-02-13 21:27:22	2018-02-13 23:12:50	2018-02-13 23:12:50	Make test failures easier to see and understand.
176	283	monopole	2018-02-13 18:48:11	2018-02-13 18:50:06	2018-02-13 18:50:05	Add links to existing demo and tutorial pages.
177	282	Liujingfang1	2018-02-13 18:27:29	2018-02-14 23:09:53	2018-02-14 23:09:53	WIP: fix filesystem tech debt
178	281	mengqiy	2018-02-13 01:00:10	2018-02-13 01:58:50	2018-02-13 01:58:50	Noop transformer
179	280	seans3	2018-02-13 00:58:21	2018-02-13 21:08:51	2018-02-13 21:08:51	More specific error messages for missing/bad manifest file
180	279	mengqiy	2018-02-13 00:08:43	2018-02-13 01:04:50	2018-02-13 01:04:50	error out when a patch has not matching object
181	275	yank1	2018-02-11 06:28:06	2018-02-12 07:06:49	2018-02-12 07:06:49	fix a typo init.go
182	274	mengqiy	2018-02-10 02:22:02	2018-02-12 23:46:50	2018-02-12 23:46:50	Kinflate use manifest tree builder
183	273	monopole	2018-02-10 00:41:43	2018-02-10 07:26:51	2018-02-10 07:26:51	add demo testing
184	272	monopole	2018-02-09 21:56:05	2018-02-09 21:56:16	2018-02-09 21:56:16	fix demo
185	270	mengqiy	2018-02-08 22:03:12	2018-02-09 18:35:53	2018-02-09 18:35:53	manifest tree builder
186	268	droot	2018-02-07 20:40:02	2018-02-07 20:54:44	2018-02-07 20:54:43	kinflate: added set subcommand
187	267	monopole	2018-02-07 16:52:00	2018-02-07 16:52:09	2018-02-07 16:52:09	tweakdemo
188	266	lmxia	2018-02-07 03:21:33	2018-02-08 17:52:43	2018-02-08 17:52:43	fix typos in cmd/kinflate/shortDemo.md
189	265	lmxia	2018-02-07 03:16:10	2018-02-14 17:41:41		fix typos in pkg/kinflate/util_test.go and pkg/framework/test/etcd.go
190	264	monopole	2018-02-07 01:18:41	2018-02-07 01:18:52	2018-02-07 01:18:52	demotweak
