	number	user_login	created_at	closed_at	merged_at	title	user_company	user_mail	user_orgs
0	number	user_login	created_at	closed_at	merged_at	title	user_company	user_mail	user_orgs
151	238	monopole	2018-01-31 17:54:00	2018-01-31 18:57:10	2018-01-31 18:57:10	Init writes only a manifest to the current dir.	google		
152	237	monopole	2018-01-31 00:09:30	2018-01-31 00:39:04	2018-01-31 00:39:04	More addresource code	google		
153	236	monopole	2018-01-30 22:47:34	2018-01-30 22:51:10	2018-01-30 22:51:10	start addresource command	google		
154	233	monopole	2018-01-30 19:16:37	2018-01-30 19:32:07	2018-01-30 19:32:07	Tweak the fakes, add a test of fake.	google		
155	231	monopole	2018-01-29 23:43:16	2018-01-29 23:50:35	2018-01-29 23:50:35	Add init command.	google		
156	145	monopole	2017-11-18 01:30:13	2017-11-21 01:26:07	2017-11-21 01:26:07	Tweak pre-commit to ignore vendor directory.	google		
157	111	monopole	2017-10-28 20:48:35	2017-10-28 20:58:00	2017-10-28 20:58:00	Tweak travis early exit	google		
158	110	monopole	2017-10-28 14:43:19	2017-10-28 20:48:50		test travis filter	google		
159	108	monopole	2017-10-26 23:25:59	2017-10-28 14:39:11	2017-10-28 14:39:11	Skip CICD build on markdown or doc changes.	google		
160	105	monopole	2017-10-25 17:32:46	2017-10-25 18:08:42	2017-10-25 18:08:42	tweak precommit	google		
161	103	monopole	2017-10-24 23:18:25	2017-10-25 04:37:37	2017-10-25 04:37:37	Add travis CICD coverage.	google		
162	65	monopole	2017-09-28 19:16:20	2017-09-28 21:25:00	2017-09-28 21:25:00	start kexpand	google		
163	478	AdamDang	2018-05-09 14:55:38	2018-05-14 16:50:46		Typo fix: implmentation->implementation		@daocloud.io	
164	469	AdamDang	2018-05-08 16:00:28	2018-05-11 20:31:43	2018-05-11 20:31:43	Typo fix: cluser->cluster		@daocloud.io	
165	463	AdamDang	2018-05-03 14:38:38	2018-05-03 18:11:52	2018-05-03 18:11:52	Typo fix: defintion->definition		@daocloud.io	
166	462	AdamDang	2018-05-02 11:30:02	2018-05-02 23:08:51	2018-05-02 23:08:51	Typo fix in the returned info.		@daocloud.io	
167	452	AdamDang	2018-04-27 15:29:53	2018-04-30 20:39:31	2018-04-30 20:39:31	Typo fix: resourse->resource		@daocloud.io	
168	447	AdamDang	2018-04-23 14:39:49	2018-04-30 20:41:18	2018-04-30 20:41:18	Typo fix in glossary.md		@daocloud.io	
169	451	richardmarshall	2018-04-27 14:28:54	2018-04-30 23:32:18	2018-04-30 23:32:18	Add subcommand for adding patches to the kustomization file	@AskMediaGroup 	@linux.com	AskMediaGroup
